,Unnamed: 0,status,continent,continentCode,country,countryCode,region,regionName,city,district,zip,lat,lon,timezone,isp,org,as,asname,reverse,mobile,proxy,hosting,query,message
0,0,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen297-ext2.ahrefs.net,False,False,True,54.36.149.41,
1,1,success,North America,,United States,US,VA,Virginia,Boydton,,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,msnbot-40-77-167-129.search.msn.com,False,False,True,40.77.167.129,
2,2,success,Europe,EU,Germany,DE,BY,Bavaria,Nuremberg,,90403,49.4527,11.0783,Europe/Berlin,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,HETZNER-AS,static.15.72.99.91.clients.your-server.de,False,False,True,91.99.72.15,
3,3,success,North America,,United States,US,CA,California,Mountain View,,94043,37.4225,-122.085,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,GOOGLE,crawl-66-249-66-194.googlebot.com,False,False,True,66.249.66.194,
4,4,success,North America,,United States,US,WA,Washington,Quincy,,98848,47.233,-119.852,America/Los_Angeles,Microsoft Corporation,Microsoft Azure Cloud (westus2),AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,msnbot-207-46-13-136.search.msn.com,False,False,True,207.46.13.136,
5,5,success,North America,,United States,US,CA,California,Mountain View,,94043,37.4225,-122.085,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,GOOGLE,crawl-66-249-66-91.googlebot.com,False,False,True,66.249.66.91,
6,6,success,Europe,EU,Ireland,IE,L,Leinster,Dublin,,D02,53.3498,-6.26031,Europe/Dublin,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",AMAZON-02,ec2-34-247-132-53.eu-west-1.compute.amazonaws.com,False,False,True,34.247.132.53,
7,7,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen326-ext2.ahrefs.net,False,False,True,54.36.149.70,
8,8,success,Asia,AS,Iran,IR,23,Tehran,Tehran,,,35.6824,51.4158,Asia/Tehran,Mobile Communication Company,4G-service,AS197207 Mobile Communication Company of Iran PLC,MCCI-AS,,True,False,False,89.199.193.251,
9,9,success,North America,,United States,US,WA,Washington,Quincy,,98848,47.233,-119.852,America/Los_Angeles,Microsoft Corporation,Microsoft Azure Cloud (westus2),AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,msnbot-207-46-13-115.search.msn.com,False,False,True,207.46.13.115,
10,10,success,Europe,EU,France,FR,GES,Grand Est,Lauterbourg,,67630,48.9742,8.1851,Europe/Paris,Contabo GmbH,Contabo GmbH,AS51167 Contabo GmbH,CONTABO,vmi2427209.contaboserver.net,False,False,True,173.249.54.67,
11,11,success,Asia,AS,Iran,IR,23,Tehran,Tehran,,,35.6824,51.4158,Asia/Tehran,Iran Cell Service and Communication Company,,AS44244 Iran Cell Service and Communication Company,IranCell-AS,,False,False,False,5.112.52.254,
12,12,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen087-ext2.ahrefs.net,False,False,True,54.36.148.87,
13,13,success,North America,,United States,US,CA,California,Cupertino,,95014,37.3322,-122.011,America/Los_Angeles,Apple Inc.,Apple Inc,AS714 Apple Inc.,APPLE-ENGINEERING,17-58-102-43.applebot.apple.com,False,False,False,17.58.102.43,
14,14,success,Europe,EU,Netherlands,NL,NH,North Holland,Haarlem,,2011,52.3803,4.6422,Europe/Amsterdam,Online SAS NL,SCALEWAY,AS12876 SCALEWAY S.A.S.,AS12876,51-15-15-54.rev.poneytelecom.eu,False,False,True,51.15.15.54,
15,15,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen273-ext2.ahrefs.net,False,False,True,54.36.149.17,
16,16,success,Asia,AS,Iran,IR,23,Tehran,Tehran,,,35.6824,51.4158,Asia/Tehran,Rightel Communication Service Company PJS,Rightel Communication Service Company PJS,"AS57218 ""Rightel Communication Service Company PJS""",RighTel,,False,False,False,5.62.206.249,
17,17,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen018-ext2.a.ahrefs.com,False,False,True,54.36.148.18,
18,18,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen017-ext2.ahrefs.net,False,False,True,54.36.148.17,
19,19,success,Asia,AS,Iran,IR,15,Lorestan Province,Khorramabad,,,33.5339,48.328,Asia/Tehran,Iran Telecommunication Company PJS,TCL DSL,AS58224 Iran Telecommunication Company PJS,TCI,,False,False,False,2.185.221.79,
20,20,success,North America,,United States,US,WA,Washington,Quincy,,98848,47.233,-119.852,America/Los_Angeles,Microsoft Corporation,Microsoft Azure Cloud (westus2),AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,msnbot-207-46-13-104.search.msn.com,False,False,True,207.46.13.104,
21,21,success,North America,,United States,US,CA,California,San Jose,,95131,37.3881,-121.8756,America/Los_Angeles,Gordon Food Service,Total server solutions,AS19936 Gordon Food Service,GORDONFOODS,,False,True,False,66.111.54.249,
22,22,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen032-ext2.ahrefs.net,False,False,True,54.36.148.32,
23,23,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen291-ext2.ahrefs.net,False,False,True,54.36.149.35,
24,24,fail,,,,,,,,,,,,,,,,,,,,,172.20.2.174,private range
25,25,success,Asia,AS,Iran,IR,23,Tehran,Tehran,,,35.7219,51.3347,Asia/Tehran,Respina Networks & Beyond PJSC,Pishgaman Pouya Investment Ltd,AS42337 Respina Networks & Beyond PJSC,RESPINA-AS,,False,False,False,5.160.157.20,
26,26,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen161-ext2.ahrefs.net,False,False,True,54.36.148.161,
27,27,success,North America,,United States,US,WA,Washington,Quincy,,98848,47.233,-119.852,America/Los_Angeles,Microsoft Corporation,Microsoft Azure Cloud (westus2),AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,msnbot-157-55-39-245.search.msn.com,False,False,True,157.55.39.245,
28,28,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen319-ext2.ahrefs.net,False,False,True,54.36.149.63,
29,29,success,Europe,EU,France,FR,HDF,Hauts-de-France,Roubaix,,59100,50.6924,3.20113,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS,OVH,hydrogen010-ext2.ahrefs.net,False,False,True,54.36.148.10,
30,30,success,North America,,United States,US,CA,California,Mountain View,,94043,37.4225,-122.085,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,GOOGLE,crawl-66-249-64-66.googlebot.com,False,False,True,66.249.64.66,
